순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김인환,한화,0.333,8,14,12,1,4,0,0,1,7,3,0,0,2,0,0,3,0,0.583,0.429,1.012,1,0.25,0.25
2,김태연,한화,0.307,79,297,257,38,79,17,0,11,129,46,3,2,32,0,3,53,4,0.502,0.388,0.890,21,0.281,0.0
3,황영묵,한화,0.306,75,253,232,34,71,7,2,3,91,28,2,1,15,0,3,32,4,0.392,0.355,0.747,19,0.328,0.0
4,이재원,한화,0.299,40,86,77,4,23,2,0,0,25,8,1,1,5,1,2,12,2,0.325,0.353,0.678,5,0.364,0.0
5,페라자,한화,0.297,76,335,293,55,87,21,0,17,159,53,0,2,39,4,1,79,4,0.543,0.379,0.922,27,0.343,0.333
6,안치홍,한화,0.293,92,392,348,50,102,13,0,10,145,47,0,3,36,0,5,57,5,0.417,0.365,0.782,32,0.291,0.0
7,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
8,최재훈,한화,0.274,73,231,179,26,49,9,0,1,61,19,5,4,26,0,17,34,7,0.341,0.407,0.748,10,0.235,1.0
9,최인호,한화,0.268,75,215,183,30,49,11,2,1,67,17,4,2,23,0,3,30,3,0.366,0.355,0.721,8,0.297,0.294
10,노시환,한화,0.267,86,387,348,57,93,13,1,18,162,60,0,0,33,7,6,84,5,0.466,0.341,0.807,22,0.29,0.0
11,이도윤,한화,0.266,87,251,222,30,59,4,2,0,67,29,3,3,21,0,2,35,4,0.302,0.331,0.633,15,0.343,0.4
12,이원석,한화,0.255,52,111,98,15,25,3,1,0,30,9,1,1,11,0,0,24,3,0.306,0.327,0.633,6,0.261,0.0
13,문현빈,한화,0.251,69,195,175,21,44,8,2,4,68,24,1,1,17,0,1,41,7,0.389,0.320,0.709,9,0.263,0.278
14,채은성,한화,0.246,75,310,280,31,69,15,0,9,111,49,0,2,24,1,4,56,7,0.396,0.313,0.709,19,0.26,0.0
15,하주석,한화,0.235,36,91,81,5,19,4,0,0,23,4,2,0,7,0,1,25,0,0.284,0.303,0.587,3,0.231,0.2
16,장진혁,한화,0.233,49,151,129,31,30,5,0,3,44,18,3,1,16,0,2,39,1,0.341,0.324,0.665,5,0.286,0.0
17,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.263,0.322,0.585,4,0.2,0.182
18,유로결,한화,0.214,8,16,14,3,3,0,0,0,3,1,0,0,2,0,0,2,1,0.214,0.313,0.527,0,0.167,0.0
19,이상혁,한화,0.200,18,5,5,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.0,0.333
19,이진영,한화,0.200,23,63,55,9,11,4,0,0,15,8,0,0,6,0,2,18,1,0.273,0.302,0.575,3,0.294,0.5
21,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
22,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
23,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,박상원,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
23,장규현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,주현상,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
