순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,김혜성,키움,79,24,20,4,83.3,5,1
2,송성문,키움,87,8,8,0,100,2,1
3,도슨,키움,85,4,2,2,50.0,4,0
3,이용규,키움,47,3,2,1,66.7,3,0
5,박수종,키움,44,1,1,0,100,1,0
5,원성준,키움,17,1,1,0,100,0,0
5,이형종,키움,29,1,1,0,100,0,0
5,임병욱,키움,24,1,1,0,100,0,0
9,고영우,키움,62,0,0,0,-,1,0
9,김건희,키움,35,0,0,0,-,0,0
9,김동헌,키움,2,0,0,0,-,0,0
9,김병휘,키움,5,0,0,0,-,0,0
9,김선기,키움,1,0,0,0,-,0,0
9,김시앙,키움,6,0,0,0,-,0,0
9,김연주,키움,4,0,0,0,-,0,0
9,김웅빈,키움,6,0,0,0,-,0,0
9,김윤하,키움,1,0,0,0,-,0,0
9,김재웅,키움,2,0,0,0,-,0,0
9,김재현,키움,74,0,0,0,-,0,0
9,김주형,키움,16,1,0,1,0.0,0,0
9,김태진,키움,38,0,0,0,-,0,0
9,문성현,키움,1,0,0,0,-,0,0
9,박성빈,키움,6,0,0,0,-,0,0
9,박주홍,키움,4,0,0,0,-,0,0
9,박준형,키움,4,0,0,0,-,0,0
9,변상권,키움,42,0,0,0,-,0,0
9,송지후,키움,2,0,0,0,-,0,0
9,신준우,키움,1,0,0,0,-,0,0
9,양지율,키움,1,0,0,0,-,0,0
9,이승원,키움,3,0,0,0,-,0,0
9,이원석,키움,39,0,0,0,-,0,0
9,이재상,키움,29,0,0,0,-,1,0
9,이주형,키움,60,0,0,0,-,1,0
9,임지열,키움,22,0,0,0,-,0,1
9,장재영,키움,17,0,0,0,-,1,0
9,주성원,키움,20,0,0,0,-,0,0
9,주승우,키움,3,0,0,0,-,0,0
9,최주환,키움,79,1,0,1,0.0,0,0
